BIOE215-01,Adv Seminar EEB,31594,"Frick,W.F.",CoastBio 203,Th 11:30AM-01:00PM
BIOE215-02,Adv Seminar EEB,45516,"Parker,I.M.",,203
BIOE245-01,Plant Ecology,32458,"Parker,I.M.",CoastBio 110,MW 10:00AM-11:35AM
BIOE272-01,Population Genetics,45174,"Cornejo,O.",CoastBio 110,MW 08:00AM-09:35AM
BIOE279-01,Evolutionary Ecolgy,30282,"Parker,I.M.",,203
BIOE281A-01,Appld Marine Ecolog,31328,"Carr,M.H.",TBD In Person,TBD
BIOE281B-01,Molecular Evolution,31331,"Bernardi,G.",TBD In Person,TBD
BIOE281C-01,Physiological Ecol,31332,"Costa,D.",TBD In Person,TBD
BIOE281D-01,Global Chng Ecology,31333,"Kroeker,K.J.",TBD In Person,TBD
BIOE281E-01,Freshwater Ecology,31335,"Palkovacs,E.P.",TBD In Person,TBD
BIOE281F-01,Ecological Res Topi,31339,"Fox,L.R.",TBD In Person,TBD
BIOE281G-01,SexualSel/Soci Behav,31340,"Alonzo,S.H.",TBD In Person,TBD
BIOE281H-01,Comp Marine Phys,31342,"Mehta,R.",TBD In Person,TBD
BIOE281I-01,DiseaseEco/Population,31344,"Kilpatrick,A.M.",TBD In Person,TBD
BIOE281K-01,Plant Evolution,31345,"Kay,K.M.",TBD In Person,TBD
BIOE281N-01,Marine Vert Ecology,31346,"Croll,D.A.",TBD In Person,TBD
BIOE281O-01,PlantWaterRelations,31347,"Pittermann,J.",TBD In Person,TBD
BIOE281P-01,Plant Population,31348,"Parker,I.M.",TBD In Person,TBD
BIOE281Q-01,Molec Evolution Gen,31349,"Pogson,G.",TBD In Person,TBD
BIOE281R-01,Mari Eco&Evol Biol,31350,"Raimondi,P.T.",TBD In Person,TBD
BIOE281S-01,Ancient DNA,31351,"Shapiro,B.A.",TBD In Person,TBD
BIOE281X-01,Topics in Marine Verts,31352,"Beltran,R.S.",TBD In Person,TBD
BIOE281Z-01,Cons Sci Changng World,31353,"Zavaleta,E.S.",TBD In Person,TBD
BIOE286-01,Exp Dsgn/Data Anlys,30281,"Kilpatrick,A.M.",,115
BIOE286L-01,Exp Design/Data Lab,45161,"Kilpatrick,A.M.",,115
BIOE294-01,"Ecol, Evol Bio Sem",31354,"Meyer,R.",CoastBio 110,F 09:30AM-10:30AM
BIOL20A-01,Cell & Molecular Bi,31083,"Bordignon,G.",Humn Lecture Hall,TuTh 11:40AM-01:15PM
BIOL20L-01,Experimental Lab,31063,"Shanks,J.A.",Thim Lecture 003,M 01:20PM-02:25PM
BIOL100-01,Biochemistry,31082,"Lee,J.C.",Media Theater M110,MWF 10:40AM-11:45AM
BIOL100K-01,Intro to Lab Research,45386,"Sikandar,S.",,TBD
BIOL101L-01,Molecular Bio Lab,31081,"Kreher,J.E.",Thim Lecture 003,M 02:40PM-03:45PM
BIOL105-01,Genetics,31080,"Sharma,U.",Earth&Marine B206,TuTh 01:30PM-03:05PM
BIOL107L-01,Syn Gene Reg Lab II,30945,"Kamakaka,R.T.",TBD In Person,TBD
